rowid,pl_name,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_insol,pl_insolerr1,pl_insolerr2,pl_rade_error,pl_bmasse_error,st_rad_error,st_teff_error,pl_orbsmax_error,pl_insol_error,pl_flux,pl_flux_error
3951,WASP-64 b,14.247,0.437,-0.437,403.945,21.612,-21.612,0.934741215,0.017310023,-0.017310023,1.06,0.03,-0.03,0.02648,0.00024,-0.00024,,,,0.437,21.612,0.03,0.017310023,0.00024,,1223.323555,116.1805761
3952,WASP-65 b,12.464,0.661,-0.661,492.62,50.85,-50.85,0.96936126,0.017310023,-0.017310023,1.01,0.05,-0.05,0.0334,0.0016,-0.0017,,,,0.661,50.85,0.05,0.017310023,0.00165,,807.4068912,126.8089385
3957,WASP-7 b,14.908,1.042,-1.042,305.1168,41.3179,-41.3179,1.10784144,0.017310023,-0.017310023,1.43,0.09,-0.09,0.0617,0.0011,-0.0011,,,,1.042,41.3179,0.09,0.017310023,0.0011,,809.1185773,117.3136127
3958,WASP-70 A b,13.047,0.818,-1.143,187.512,6.992,-6.992,0.997576597,0.013674918,-0.013674918,1.22,0.06,-0.09,0.04853,0.00062,-0.00062,,,,0.9805,6.992,0.075,0.013674918,0.00062,,625.8699308,85.76102932
3963,WASP-75 b,14.235,0.538,-0.538,340.06,15.89,-15.89,1.055911373,0.017310023,-0.017310023,1.26,0.04,-0.04,0.0375,0.0007,-0.0008,,,,0.538,15.89,0.04,0.017310023,0.00075,,1403.422467,139.858365
3964,WASP-76 b,20.512,0.673,-0.448,292.4036,9.5349,-9.5349,1.081876406,0.017310023,-0.017310023,1.73,0.04,-0.04,0.033,0.0005,-0.0005,,,,0.5605,9.5349,0.04,0.017310023,0.0005,,3765.086218,318.4263177
3970,WASP-80 b,11.198,0.336,-0.347,170.99254,11.12405,-11.44188,0.717154232,0.015925221,-0.016271421,0.59,0.02,-0.02,0.0344,0.001,-0.0011,,,,0.3415,11.282965,0.02,0.016098321,0.00105,,77.81035579,9.960121374
3971,WASP-81 b,16.018,0.572,-0.516,231.69807,11.44188,-11.12405,1.016098321,0.020772027,-0.020772027,1.28,0.04,-0.04,0.03908,0.0007,-0.00072,,,,0.544,11.282965,0.04,0.020772027,0.00071,,1143.546329,124.8150773
3973,WASP-83 b,11.657,0.897,-0.56,95.349,9.5349,-9.5349,0.95378224,0.019041025,-0.019041025,1.05,0.06,-0.04,0.059,0.001,-0.001,,,,0.7285,9.5349,0.05,0.019041025,0.001,,262.1027032,33.76568576
3974,WASP-84 b,10.559,0.247,-0.247,220.565,8.899,-8.899,0.919854596,0.01523282,-0.01523282,0.75,0.01,-0.01,0.0771,0.0012,-0.0012,,,,0.247,8.899,0.01,0.01523282,0.0012,,67.74706746,5.27724967
3975,WASP-85 A b,13.899,0.336,-0.336,402.05495,20.65895,-20.65895,1.057988575,0.004673706,-0.004673706,0.94,0.02,-0.02,0.039,0.001,-0.001,,,,0.336,20.65895,0.02,0.004673706,0.001,,727.8642773,50.17966928
3976,WASP-87 b,15.524,0.673,-0.673,692.8694,47.6745,-47.6745,1.116496451,0.020772027,-0.020772027,1.63,0.06,-0.06,0.02946,0.00075,-0.00075,,,,0.673,47.6745,0.06,0.020772027,0.00075,,4757.065291,553.7532255
3978,WASP-89 b,11.657,0.448,-0.448,1875.197,127.132,-127.132,0.888004154,0.01557902,-0.01557902,0.88,0.03,-0.03,0.0427,0.0012,-0.0012,,,,0.448,127.132,0.03,0.01557902,0.0012,,264.1007196,29.80067038
3979,WASP-90 b,18.271,1.009,-1.009,200.2329,22.2481,-22.2481,1.113034447,0.022503029,-0.022503029,1.98,0.09,-0.09,0.0562,0.0012,-0.0012,,,,1.009,22.2481,0.09,0.022503029,0.0012,,1904.987678,245.6492745
3980,WASP-91 b,11.545,0.448,-0.448,425.8922,25.4264,-25.4264,0.851653107,0.013848018,-0.013848018,0.86,0.03,-0.03,0.037,0.001,-0.001,,,,0.448,25.4264,0.03,0.013848018,0.001,,284.2132987,31.15945239
3981,WASP-92 b,16.376,0.863,-0.863,255.85315,21.61244,-21.61244,1.087069413,0.020772027,-0.020772027,1.34,0.06,-0.06,0.0348,0.00036,-0.00036,,,,0.863,21.61244,0.06,0.020772027,0.00036,,2070.523736,247.5093309
3982,WASP-93 b,17.901,0.863,-0.863,467.2101,92.1707,-92.1707,1.159771508,0.017310023,-0.017310023,1.52,0.04,-0.04,0.04211,0.00035,-0.00035,,,,0.863,92.1707,0.04,0.017310023,0.00035,,2357.254284,191.6591216
3986,WASP-96 b,13.45,0.67,-0.67,152.55,9.53,-9.53,0.958975247,0.024234032,-0.024234032,1.05,0.05,-0.05,0.0453,0.0013,-0.0013,,,,0.67,9.53,0.05,0.024234032,0.0013,,454.3722324,68.28033536
3988,WASP-98 b,12.823,0.381,-0.381,293.03926,25.4264,-25.4264,0.947377532,0.020945127,-0.020945127,0.74,0.02,-0.02,0.03762,0.001,-0.001,,,,0.381,25.4264,0.02,0.020945127,0.001,,311.6866344,36.30682845
3992,WTS-1 b,16.7,1.79,-2.02,1274.44,111.24,-111.24,1.081876406,0.034620045,-0.034620045,1.15,0.1,-0.12,0.047,0.001,-0.001,,,,1.905,111.24,0.11,0.034620045,0.001,,820.1826235,191.9860381
3993,WTS-2 b,15.278,0.684,-0.684,355.9696,50.8528,-50.8528,0.865501125,0.043275056,-0.043275056,0.75,0.03,-0.03,0.01855,0.00062,-0.00062,,,,0.684,50.8528,0.03,0.043275056,0.00062,,917.2870157,206.8852072
4004,XO-5 b,12.78,0.34,-0.34,378.2,9.53,-9.53,0.939934222,0.012117016,-0.012117016,1.13,0.03,-0.03,0.0515,0.0005,-0.0005,,,,0.34,9.53,0.03,0.012117016,0.0005,,375.7788016,28.75470239
4031,pi Men c,2.042,0.05,-0.05,4.82,0.84,-0.86,1.045006059,0.00778951,-0.00778951,1.1,0.02,-0.02,0.06839,0.0005,-0.0005,309,29,-66,0.05,0.85,0.02,0.00778951,0.0005,47.5,308.5143691,15.1929447
